,scores,logFC,PValue,FDR
MMP7,-1.3170882,0.3572042,0.1878090376474447,0.4327397180816698
EPHA2,-1.3370479,0.026047817,0.1812070041013247,0.4194606576419553
ICOS,-1.3400763,-0.32028723,0.1802205382091528,0.4191175307189601
CD70,-1.3491204,-1.3000053,0.1772983220178961,0.4142484159296639
MYBL2,-1.3523746,0.5721175,0.1762555369514168,0.4137453919047343
PTGS2,-1.3619373,0.060660128,0.173217664924562,0.4085322285956651
EPCAM,-1.3889774,0.14834177,0.1648396195500786,0.3906152122039778
CTSW,-1.4011234,-0.19266587,0.1611771730354683,0.3837551738939721
TMEM37,-1.4101459,0.19941387,0.1584966185586359,0.3810014869197979
MCM6,-1.4283011,0.028463034,0.1532052066450464,0.3700608856160542
PLOD2,-1.4664909,0.11563075,0.1425146166971822,0.3493005311205448
LGALS9,-1.5016527,0.08565903,0.1331868071067942,0.3296703146207777
NOTCH1,-1.5602276,-0.11835198,0.1187060884567191,0.2967652211417978
EZH2,-1.5691645,-0.34272826,0.1166096128889319,0.292988977107869
AURKA,-1.5802298,0.512824,0.1140542527811511,0.2880157898513917
CXCR3,-1.5866729,-0.18488583,0.1125867575544081,0.2857531917624572
DUSP1,-1.6319361,1.0006987,0.1026929574019421,0.2660439310931144
TEAD4,-1.6392245,0.37286913,0.1011665042646534,0.2634544381892016
PLK1,-1.6599764,0.30918026,0.0969192188415331,0.2537152325694584
MKI67,-1.6842854,1.3412577,0.0921265202519684,0.2450173410956607
E2F1,-1.7255796,1.9023783,0.0844230604189457,0.2269437108036176
CTNNB1,-1.7811097,0.44203085,0.0748945375089086,0.2024176689429963
IL2RA,-1.8980628,-0.25408122,0.0576878024355348,0.1584829737239967
CDCA7,-1.9148906,0.6760317,0.0555064459367741,0.1541845720465948
PLVAP,-1.9331608,0.3755036,0.0532163998026419,0.1486491614598936
GNLY,-1.9429722,-0.67734426,0.0520195219460782,0.1461222526575231
C1QC,-1.9701245,-0.43343467,0.048824103456401,0.1387048393647756
CCL4,-1.9715261,-0.66292036,0.0486637267831551,0.1387048393647756
WNT5A,-1.9763157,0.15366009,0.0481190231015607,0.1382730548895424
NCR1,-1.9801922,,0.0476819413653975,0.1378090790907443
CXCL8,-2.0090697,0.23315302,0.0445297554301394,0.1294469634597076
CD244,-2.0492952,-2.5274808,0.0404332626978652,0.1203370913626942
FGFR2,-2.0665436,0.20954838,0.038777192399795,0.1160993784425
MMP11,-2.079299,,0.0375898811808511,0.1132225336772626
LRP5,-2.1094835,0.12529926,0.0349028676527914,0.1064111818682666
MAFB,-2.115033,0.36950448,0.0344271381440724,0.105604718233351
IFNGR2,-2.1571808,0.032385606,0.0309915750771631,0.0956530094974169
LAMP3,-2.2277007,0.14418635,0.0259004795145101,0.0804362717841929
IL4I1,-2.2371569,-1.961106,0.0252760824883383,0.0789877577760574
PDPN,-2.281517,0.08347989,0.0225178695146896,0.0708109104235522
TGFBI,-2.310574,1.8705106,0.0208563994371624,0.0660012640416532
MMP12,-2.3205528,1.1233771,0.0203109915622027,0.0646846865038302
CA9,-2.340453,0.048108924,0.0192603720329885,0.062130232364479
ERBB3,-2.3407128,0.22341518,0.0192469640989756,0.062130232364479
CCR1,-2.390463,,0.0168271366270809,0.0553524231153979
IKZF2,-2.3908367,-0.37266883,0.016810026405164,0.0553524231153979
ATF3,-2.3983135,0.11278575,0.0164707579986964,0.0549025266623215
PRF1,-2.4517145,-0.57580924,0.0142177421244514,0.0477105440417832
SRC,-2.4676266,0.14215717,0.0136012151875962,0.0459500513094468
CCND1,-2.493104,0.36109596,0.0126631798003662,0.0430720401373003
AKT1,-2.5305705,0.3008161,0.0113877175462375,0.0395406859244359
BAX,-2.5738316,-0.50582117,0.0100579235116502,0.0354152236325713
CTLA4,-2.5781994,-0.18339787,0.0099316663341818,0.0352186749439071
BIRC5,-2.6489692,0.24075218,0.0080737700427159,0.0292527900098404
KITLG,-2.6744738,0.30834705,0.0074846628047596,0.0273162876086119
ERBB2,-2.6865633,0.1632132,0.0072191260309237,0.0265409045254548
CD14,-2.7279913,,0.0063721270632477,0.0236004706046214
LAG3,-2.7409434,-0.7128836,0.0061263043358883,0.0228593445368968
NRAS,-2.7801366,0.11975619,0.0054336046009444,0.0204270849659566
PCNA,-2.792091,0.30346864,0.0052368624756318,0.0199253521072611
